テーブル名,論理名,業務用途,工程,候補根拠,主要キー,車両接続キー,受注接続キー,金額項目,帳票利用,必要性,正式値か,更新方式,削除方式,訂正方式,保持期間,推奨履歴方式,Power BI提供方法,確定度,確認担当者,次の作業
TBAZ017M,車両基本DB,車両基本情報・車両識別,全工程共通（車両識別）,主要関連カラム: CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / DD_SYODOTOR（初度登録日） / MJ_FRAMEKAT（フレーム型式） / NO_FRAME（フレームＮＯ） / NO_DUOSYADA（ＤＵＯ車台番号） / NO_SYAKEY（車両キーＮＯ） / DD_MASENCYO（抹消延長日） / KB_SYAMASSY（車両抹消区分） / KB_SYAMASYO（車両抹消理由区分） ほか3項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_OKYAKU（お客様コード） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_FRAME（フレームＮＯ） / NO_DUOSYADA（ＤＵＯ車台番号） / NO_SYAKEY（車両キーＮＯ）,該当カラム未確認,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分更新/上書き型の可能性（更新日時・日次比較で確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,Current＋SCD Type2/History（車両属性・所有/使用関係の変更を保持）,最新車両ビュー／基準日時点ビュー。履歴テーブルは直接公開しない,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋車両管理識者＋AI21/インフラ担当,正式用途・キー定義を確認。Hueで件数、PK/車両IDのNULL・重複、更新日時、TBAZ017M↔TBAZ018M接続率を確認
TBAZ018M,車両付加ＤＢ,車両付加情報・所有/使用関係・車両特定ID,全工程共通（車両・所有/使用関係）,主要関連カラム: CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_CYUMON（注文ＮＯ） / DD_CYUTOROK（中古車登録日） / KB_TATENIRA（他店登録依頼区分） / KB_SYADM（車両ＤＭ出力不可区分） / KB_SYALIST（車両リスト出力不可区分） / KB_SYATEL（車両ＴＥＬ不可区分） / KB_SYAEMAIL（車両Ｅメール不可区分） / MJ_SYASRIYU（車両出力不可理由） ほか14項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_OKYAKU（お客様コード） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / CD_UMISYRID（ＵＭＩ車両ＩＤ） / CD_RSYRTOID（ａｉ２１車両特定ＩＤ）,NO_CYUMON（注文ＮＯ）,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分更新/上書き型の可能性（更新日時・日次比較で確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,Current＋SCD Type2/History（車両属性・所有/使用関係の変更を保持）,最新車両ビュー／基準日時点ビュー。履歴テーブルは直接公開しない,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋車両管理識者＋AI21/インフラ担当,正式用途・キー定義を確認。Hueで件数、PK/車両IDのNULL・重複、更新日時、TBAZ017M↔TBAZ018M接続率を確認
TBBA001G,新車受注基本DB,新車受注・登録・売上・納車管理,新車受注→登録→売上→納車,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / SU_JUCHUDAI（受注台数） / NO_SYADAIBA（車台番号） / KB_TOROKU（登録区分） / KB_JCSINPO（受注進捗区分） / KB_TOROKKAH（登録可否区分） / MJ_NOSYBAS（納車場所） / MJ_SYATEIRA（車両手配依頼） / DD_SYRYTHIR（車両手配依頼日） / MJ_CYMONM1（注文メモ１） / MJ_CYMONM2（注文メモ２） ほか55項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_SYADAIBA（車台番号） / NO_FRAME（フレームＮＯ）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KYTYUMON（旧注文ＮＯ） / NO_KYTYMOED（旧注文ＮＯ枝番） / NO_SINTYMON（新注文ＮＯ） / NO_SINTYMED（新注文ＮＯ枝番） / NO_SKYCYMON（送信旧注文ＮＯ） / NO_SKYCYMED（送信旧注文ＮＯ枝番）,DD_URITRKKJ（売上取消計上日） / DD_MODURIKJ（戻し売上計上日） / DD_URIAGEKJ（売上計上日） / DD_URITORIK（売上取消日） / DD_MODURIAG（戻し売上日） / DD_URIAGE（売上日）,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分更新/上書き型の可能性（更新日時・日次比較で確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,Current＋状態遷移履歴,Currentビュー＋状態遷移分析ビュー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,受注成立・取消ルールを確認。Hueで注文キー重複、車台/フレーム充足率、日付範囲、状態別件数、旧新注文NOを確認
TBBA002G,新車受注追工DB,新車追工・用品・追加作業明細,新車販売・追工/用品,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / KI_TUIKOKIN（追工金額） / KI_TUIKKINM（追工金額マスタ値） / KI_TUIKKNGE（追工管理原価） / KI_BUHYTG（部品予定原価） / KI_KOTIYOGE（工賃予定原価） / KI_GAITYYOT（外注予定原価） / KI_TAYOGEN（その他予定原価） / KI_YOTEGEKE（予定原価計） / KI_CENTBUYO（センター部品予定原価） / KI_CENTKOYO（センター工賃予定原価） ほか9項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_OYATUIKO（親追工コード） / NO_OYATUIKO（親追工連番） / CD_TUIKO（追工コード） / KI_TUIKRE（追工連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_TUIKOKIN（追工金額） / KI_TUIKKINM（追工金額マスタ値） / KI_TUIKKNGE（追工管理原価） / KI_BUHYTG（部品予定原価） / KI_KOTIYOGE（工賃予定原価） / KI_GAITYYOT（外注予定原価） / KI_TAYOGEN（その他予定原価） / KI_YOTEGEKE（予定原価計） / KI_CENTBUYO（センター部品予定原価） / KI_CENTKOYO（センター工賃予定原価） / KI_CENTGAYO（センター外注予定原価） / KI_CENTYOGN（センターその他予定原価） ほか2項目,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,利益計算への使用有無を確認。Hueで注文接続率、変更頻度、NULL/重複、TBBG088Gとの金額整合を確認
TBBA052G,新車受注販売条件情報DB,新車販売条件・価格・原価,新車販売条件・利益計算,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / KI_KATAYOGE（型式予定原価） / KI_KATAKANR（型式管理原価） / KI_SIKIYOTG（色予定原価） / KI_SIKIKANG（色管理原価） / KI_MAKEOK1（メーカーＯＰＴ管理原価１） / SU_MAKOYO1（メーカーＯＰＴ予定原価１） / KI_MAKEOK2（メーカーＯＰＴ管理原価２） / SU_MAKOYO2（メーカーＯＰＴ予定原価２） / KI_MAKEOK3（メーカーＯＰＴ管理原価３） / SU_MAKOYO3（メーカーＯＰＴ予定原価３） ほか102項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_KATAYOGE（型式予定原価） / KI_KATAKANR（型式管理原価） / KI_SIKIYOTG（色予定原価） / KI_SIKIKANG（色管理原価） / KI_MAKEOK1（メーカーＯＰＴ管理原価１） / SU_MAKOYO1（メーカーＯＰＴ予定原価１） / KI_MAKEOK2（メーカーＯＰＴ管理原価２） / SU_MAKOYO2（メーカーＯＰＴ予定原価２） / KI_MAKEOK3（メーカーＯＰＴ管理原価３） / SU_MAKOYO3（メーカーＯＰＴ予定原価３） / KI_MAKEOK4（メーカーＯＰＴ管理原価４） / SU_MAKOYO4（メーカーＯＰＴ予定原価４） ほか109項目,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,利益計算への使用有無を確認。Hueで注文接続率、変更頻度、NULL/重複、TBBG088Gとの金額整合を確認
TBBG088G,新車利益分析ＤＢ,新車利益分析,新車売上・利益,主要関連カラム: NO_CYUMON（注文ＮＯ） / DD_JUCYU（受注日） / DD_URIAGE（売上日） / NO_KAPKAISU（割賦回数） / NO_KAPKAIS2（割賦回数２） / NO_KAPKAIS3（割賦回数３） / NO_KAPKAIS4（割賦回数４） / NO_KAPKAIS5（割賦回数５） / CD_KAPKASUH（割賦回数範囲コード） / SU_DAISKPH1（台数＿割賦販売１） / SU_DAISKPH2（台数＿割賦販売２） / SU_DAISKPH3（台数＿割賦販売３） ほか39項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_HNRIREK（変更履歴ＮＯ）,該当カラム未確認,NO_CYUMON（注文ＮＯ）,DD_URIAGE（売上日） / SU_DAISUSYT（台数＿諸手数料） / KI_KINGKSYH（金額＿車両本体価格） / KI_KINGKHZK（金額＿付属品価格） / KI_KINGKHTS（金額＿販売店特別仕様価格） / KI_KINGKMOP（金額＿メーカーＯＰＴ価格） / KI_KINGKATA（金額＿頭金） / KI_KINGKKPT（金額＿割賦手数料） / KI_KINGKPT2（金額＿割賦手数料２） / KI_KINGKPT3（金額＿割賦手数料３） / KI_KINGKPT4（金額＿割賦手数料４） / KI_KINGKPT5（金額＿割賦手数料５） ほか36項目,未確認（利益・売上帳票/Power BIの参照候補）,最優先候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,正式利益・利益定義・データリネージを確認。Hueで注文単位重複、変更履歴、正負レコード、TBBA052G～055Gとの金額整合を確認
TBBA053G,新車受注任意諸費用情報ＤＢ,新車任意諸費用,新車販売条件・利益計算,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINSYHIY（任意諸費用連番） / KB_NINSYHIY（任意諸費用区分） / KI_NINSYHI（任意諸費用） / KI_NINSYHKG（任意諸費用管理原価） / KI_NINSYHZK（任意諸費用＿税込） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINSYHIY（任意諸費用連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_NINSYHIY（任意諸費用連番） / KB_NINSYHIY（任意諸費用区分） / KI_NINSYHI（任意諸費用） / KI_NINSYHKG（任意諸費用管理原価） / KI_NINSYHZK（任意諸費用＿税込）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,利益計算への使用有無を確認。Hueで注文接続率、変更頻度、NULL/重複、TBBG088Gとの金額整合を確認
TBBA054G,新車受注任意預かり金情報ＤＢ,新車任意預かり金,新車販売条件・預り金,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINAZUKN（任意預かり金連番） / KB_NINAZUKN（任意預かり金区分） / KI_NINAZUK（任意預かり金） / KI_NINAZUKG（任意預かり金管理原価） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINAZUKN（任意預かり金連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_NINAZUKN（任意預かり金連番） / KB_NINAZUKN（任意預かり金区分） / KI_NINAZUK（任意預かり金） / KI_NINAZUKG（任意預かり金管理原価）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,利益計算への使用有無を確認。Hueで注文接続率、変更頻度、NULL/重複、TBBG088Gとの金額整合を確認
TBBA055G,新車受注割賦情報ＤＢ,新車割賦情報,新車販売条件・割賦,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KAPRENB（割賦連番） / KI_KAPGANKI（割賦元金） / KI_KAPTESU（割賦手数料） / KI_KAPTESG（割賦手数料管理原価） / KI_KAPTSRZK（割賦手数料＿税込） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KAPRENB（割賦連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_KAPGANKI（割賦元金） / KI_KAPTESU（割賦手数料） / KI_KAPTESG（割賦手数料管理原価） / KI_KAPTSRZK（割賦手数料＿税込）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,利益計算への使用有無を確認。Hueで注文接続率、変更頻度、NULL/重複、TBBG088Gとの金額整合を確認
TBBA003G,受注下取DB,新車受注に紐づく下取り管理,新車受注→下取り→U-Car仕入,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / KB_MITRCHUB（未登録車付番済区分） / NO_SATEISYO（査定書ＮＯ） / DD_SATEI（査定日） / NO_SYARYOU（車両ＮＯ） / KI_SITADKAK（下取価格） / KB_SITASYHI（下取消費税区分） ほか10項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / KB_SINCYU（新中区分） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SITARENB（下取連番）,CD_NORIKUSI（登録ＮＯ陸支コード） / KB_NOSYASYU（登録ＮＯ車種区分） / CD_NOGYOTAI（登録ＮＯ業態コード） / NO_NOSEIRI（登録ＮＯ整理番号） / NO_SYARYOU（車両ＮＯ） / NO_SYADAIBA（車台番号）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KYUSATEI（旧査定ＮＯ）,NO_SATEISYO（査定書ＮＯ） / DD_SATEI（査定日） / KI_SITADKAK（下取価格） / KB_ZANSEKSA（残債先区分） / MJ_ZANSEKSA（残債先名） / KI_AZRECYYO（預りリサイクル預託金） / KI_SIYZJDHI（使用済自動車引取依頼金額） / NO_KYUSATEI（旧査定ＮＯ）,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチさん＋新車利益/帳票担当＋AI21/インフラ担当,下取価格定義・接続キーを確認。Hueで注文/査定/車両キー充足率、複数下取、取消、U-Car在庫との接続率を確認
