大分類,比較項目,TBAZ017M,TBBA001G,TBBA085G,確認状況・今後の対応
対象・特性,対象区分,パイロット対象,パイロット対象,パイロット対象,確認済み
対象・特性,想定役割,車両基本情報,現行新車受注,抹消・退避済み新車受注,実データと構造を基にした暫定評価
対象・特性,暫定特性,マスタ系・現在値系候補,受注・状態管理系候補,最終断面アーカイブ系候補,確認済み。正式な業務名称・用途は担当者確認が必要
対象・特性,現在値／履歴の評価,現在状態を保持する候補,受注ごとの現在状態を保持する候補,抹消・退避時点の最終状態を保持する候補,3テーブルとも完全な変更履歴テーブルではないと評価
物理構造,カラム数,71,247,248,確認済み
物理構造,データ型内訳,STRING 51／TIMESTAMP 15／BIGINT 5,STRING 175／TIMESTAMP 57／BIGINT 15,STRING 175／TIMESTAMP 58／BIGINT 15,確認済み
物理構造,テーブル形式,Kudu External Table,Kudu External Table,Kudu External Table,確認済み
物理構造,HASHパーティション数,12,12,12,確認済み
物理構造,日付・RANGEパーティション,なし,なし,なし,確認済み
物理構造,external.table.purge,TRUE,TRUE,TRUE,確認済み。DROP TABLEは実データへ影響する可能性があるため実行禁止
物理構造,TBBA001Gとのカラム関係,対象外,基準となる247カラム,TBBA001Gの247カラム＋dt_massyo,確認済み。TBBA085Gは共通247カラムにdt_massyoを追加
物理構造,TBBA001G／TBBA085Gのカラム順,対象外,TBBA001Gの並び順,TBBA001Gとは並び順が異なる,確認済み。SELECT *による単純なUNION ALLは不可
キー,ソース主キー,cd_hansya＋cd_kaisya＋cd_okyaku＋cd_norikusi＋kb_nosyasyu＋cd_nogyotai＋no_noseiri,cd_hansya＋cd_kaisya＋no_cyumon＋no_cyumoned,cd_hansya＋cd_kaisya＋no_cyumon＋no_cyumoned＋dd_uriage,確認済み
キー,主キーの役割,車両基本レコードの識別,現行受注レコードの識別,抹消・退避済み受注レコードの識別,確認済み
キー,主キー一意性・重複,7カラム主キーとして定義,"確認時点で3,363,363件すべて一意・重複0件",5カラム主キーとして定義。4カラムだけでは441種類が重複,確認済み
キー,TBBA085Gの4カラム重複内容,対象外,対象外,441キー・882行・各キー最大2行,確認済み
キー,TBBA085G重複キーの差異,対象外,対象外,441キーすべてでdd_uriage・no_frame・dt_massyoが異なる。dt_saisinupは437キーで異なる,確認済み。単純な重複行ではない
キー,no_cyumonedの空白件数,対象外,"3,205,010件","2,115,214件",確認済み。空白が多くても物理主キーの一部として扱う
キー,車両接続キー候補,TRIM(no_frame),TRIM(no_frame),TRIM(no_frame),確認済み。有力候補だが単独主キーにはできない
キー,no_frame有効値率,約99.953%,約85.332%,100.000%,確認済み
キー,no_frameのTRIM後ユニーク数,約446.7万種類,約132.3万種類,"1,102,279種類",確認済み
キー,no_frameの1キー当たり平均行数,約5.30行,約2.17行,約2.00行,確認済み。3テーブルとも一意ではない
キー,no_frameの主な形式,6～7文字・大部分が数字,6～7文字・大部分が数字,6～7文字・大部分が数字,確認済み
キー,no_frameの前後空白,ほぼ全件に存在,"506,239件で確認","11,377件で確認",照合時はTRIMを使用し、元値と正規化値を分けて保持する方針が安全
キー,TBAZ017Mとのno_frame一致率,基準側,約97.2814%,約98.1529%,確認済み
キー,TBBA001GとTBBA085Gの共通no_frame,対象外,"618,573種類","618,573種類",確認済み。ただし同一受注の判定には使えない
件数,調査開始時の総件数,"23,708,345件","3,361,453件","2,209,291件",確認済み
件数,最新確認時の総件数,"23,713,645件","3,363,364件","2,209,290件",2026-07-16 21:41 JST時点
件数,調査開始時からの総件数差,"＋5,300件","＋1,911件",－1件,確認済み。INSERT・DELETE件数ではなく、確認2時点の総件数差
件数,短時間での件数変動,増加を確認,増加・減少の両方を確認,1件の差を確認,現在値が継続的に変動しているため、集計時刻の記録が必要
データ期間,観測上のデータ期間,1983-10-31～2026-07-16（dt_johosaku基準）,1994-10-18～2026-07-16（dd_jucyu基準）,1998-05-16～2026-03-22（dd_jucyu基準）,確認済み。正式な保持期間ではない
データ期間,売上日候補の期間,対象外または未整理,1994-10-24～2026-07-16（dd_uriage基準）,1998-05-28～2026-03-31（dd_uriage基準）,確認済み
データ期間,最終更新日時候補の期間,dt_kosinを確認。特殊な未来日時を含む,2001-05-24～2026-07-16（dt_saisinup基準）,2003-11-06～2026-07-16（dt_saisinup基準）,確認済み
データ期間,抹消・退避日時候補の期間,対象外,対象外,2003-05-08～2026-07-15（dt_massyo基準）,確認済み
データ量,月別発生量の暫定評価,月平均約21万～22万件・比較的安定,2026年上期月平均約14.4万件・増加傾向,2026年上期月平均約11.7万件・2025年5月以降に水準変化,確認済み。純増量ではなく日時基準の件数
データ量,2026年上期の前年同期比,約7.7%増,約118.8%増,約201.2%増,確認済み。増加理由は現在値データだけでは特定不可
変更頻度,通常日の更新規模,"中央値約30,383件／日","中央値約5,664件／日",中央値約74件／日,確認済み。UPDATE命令回数ではない
変更頻度,直近31日の更新日時件数,継続的な更新を確認,"合計1,241,227件・平均約40,040件／日","合計23,523件・平均約759件／日",確認済み
変更頻度,大規模処理候補,"2026-07-01に773,055件","2026-07-15に833,997件","2026-07-01に16,288件",確認済み。処理原因は未確認
変更頻度,日次更新の有無,直近31日すべてで確認,直近31日すべてで確認,直近31日すべてで確認,確認済み
変更頻度,総件数不変時の更新,更新日時の進行を確認,総件数だけでは更新判別不可,総件数不変でもdt_saisinup最大値の進行を確認,現在値件数と更新処理は分けて評価する必要がある
日時,ImpalaのNOW()基準,UTC,UTC,UTC,確認済み
日時,テーブル日時の想定基準,JST格納の可能性が高い,JST格納の可能性が高い,JST格納の可能性が高い,暫定評価。正式仕様は未確認
日時,日本時間基準の未来日時,3件（すべて2100-03-28 14:15:00）,0件,0件,確認済み。TBAZ017Mでは特殊値の可能性を考慮
業務状態,受注日候補,対象外,dd_jucyu,dd_jucyu,確認済み
業務状態,条件変更日候補,対象外,dd_jokenhen,dd_jokenhen,確認済み
業務状態,条件変更日の設定率,対象外,"92.4496%（3,109,363件）","99.9904%（2,209,077件）",確認済み
業務状態,条件変更日と受注日の関係,対象外,"受注日より後2,986,626件／同日122,703件／前34件","受注日より後2,208,333件／同日740件／前4件",確認済み
業務状態,条件変更日が最終更新日時より後,対象外,0件,0件,確認済み
業務状態,売上日候補,対象外または未整理,dd_uriage。NULL許可,dd_uriage。全件設定・主キーの一部,確認済み
業務状態,登録日候補,対象外,dd_touroku,dd_touroku,確認済み
業務状態,納車日候補,対象外,dd_nosya,dd_nosya,確認済み
業務状態,取消日候補,対象外,dd_torikesi,dd_torikesi,確認済み
業務状態,取消日の設定件数・率,対象外,"26,698件・0.7938%",0件・0.0000%,確認済み
業務状態,取消日あり・売上日なし,対象外,"26,685件",0件,確認済み
業務状態,取消日あり・no_frame空白,対象外,"23,710件",0件,確認済み
業務状態,取消日と後続工程日の関係,対象外,対象17件。取消日より後の売上日・登録日・納車日は0件,取消日設定なし,確認済み。日付関係に明確な逆転は未確認
業務状態,抹消・退避日時候補,対象外,対象外,dt_massyo。全件設定,確認済み
業務状態,TBBA085Gの状態的特徴,対象外,対象外,売上日あり＋dt_massyoあり＋取消日なし,確認済み。取消専用テーブルとは評価できない
現行・抹消関係,受注キー4カラムの一致件数,対象外,"18,251件","18,251件",確認済み
現行・抹消関係,受注キー4カラムの一致率,対象外,0.5426%（TBBA001G基準）,0.8263%（TBBA085G基準）,確認済み。両テーブルの大部分は別キー
現行・抹消関係,共通受注キーのno_frame比較,対象外,"空白7,170件／一致1件／不一致11,080件",同左,確認済み
現行・抹消関係,比較可能な共通受注キーのno_frame一致率,対象外,0.0090%,0.0090%,確認済み
現行・抹消関係,受注キー4カラムの横断利用,対象外,TBBA085Gとの直接JOINには不適切,TBBA001Gとの直接JOINには不適切,確認済み。各テーブル内のレコード識別に使用
現行・抹消関係,同一受注の両テーブル共存,対象外,現在値だけでは確定不可,現在値だけでは確定不可,共通キーは確認したが、コピー・移動・共存期間は判別不可
現行・抹消関係,コピー方式か移動方式か,対象外,現在値だけでは確定不可,現在値だけでは確定不可,物理的な連携方式は処理仕様の確認が必要
現行・抹消関係,dt_massyoの正式な意味,対象外,対象外,抹消・退避処理に関係する日時候補,値の実態は確認済み。正式な意味は担当者・仕様書確認が必要
ハッシュ,csv_md5・kudu_md5の両方設定件数,"6,328,098件","71,851件","34,410件",2026-07-16 21:41 JST時点
ハッシュ,両MD5設定率,約26.69%,約2.14%,約1.56%,確認済み
ハッシュ,両MD5の一致件数・率,"6,328,098件・100.0000%","71,851件・100.0000%","34,410件・100.0000%",確認済み。不一致0件
ハッシュ,csv_md5のみ設定,"27,850件",54件,0件,確認済み
ハッシュ,既存MD5による全件変更判定,不可,不可,不可,設定対象が限定されるため、全件共通の変更判定には使用できない
ハッシュ,csv_md5・kudu_md5の生成ルール,未確認,未確認,未確認,実データの設定状況は確認済み。対象カラム・連結順・NULL処理・再計算条件は仕様確認が必要
更新・削除・訂正,INSERT件数の判別,総件数差だけでは不可,総件数差だけでは不可,総件数差だけでは不可,確認済み。現在値の純増減とINSERT件数は同じではない
更新・削除・訂正,UPDATE件数の判別,更新日時分布は確認可能だが命令件数は不可,更新日時分布は確認可能だが命令件数は不可,更新日時分布は確認可能だが命令件数は不可,確認済み
更新・削除・訂正,DELETE件数の判別,現在値だけでは不可,現在値だけでは不可,現在値だけでは不可,確認済み。削除済み行は現在値から直接確認できない
更新・削除・訂正,訂正前データの保持,標準的な履歴列なし,標準的な履歴列なし,標準的な履歴列なし,確認済み。現在値から変更前後や変更回数は復元できない
更新・削除・訂正,変更されたカラムの特定,現在値だけでは不可,現在値だけでは不可,現在値だけでは不可,確認済み
更新・削除・訂正,現在値から確認できる内容,現時点の車両基本情報・日時・MD5,現時点の受注状態・業務日付・日時・MD5,現時点の抹消・退避済み受注の最終状態候補・日時・MD5,確認済み
保持期間,正式な保持年数,未確認,未確認,未確認,現在値の最古・最新日は確認済み。正式な保持年数は担当者・運用仕様の確認が必要
保持期間,自動削除の有無,現在値だけでは確認不可,現在値だけでは確認不可,現在値だけでは確認不可,担当者・運用仕様の確認が必要
保持期間,アーカイブ・退避条件,対象外または未確認,TBBA085Gへの具体的な条件は未確認,格納条件は未確認,担当者・テーブル仕様の確認が必要
履歴設計,現行テーブルが完全履歴を保持するか,保持していないと評価,保持していないと評価,完全な変更履歴ではなく最終断面候補,確認済み
履歴設計,暫定的な役割分担,車両基本情報の現在値,現行受注の現在状態,抹消・退避済み受注の最終状態候補,比較整理済み
履歴設計,暫定的な履歴方式候補,最新＋変更差分履歴,最新＋状態遷移履歴,最終断面アーカイブとして活用,方向性を整理済み。具体設計は担当者からの連絡後に対応
履歴設計,履歴管理の基本単位,7カラム主キー＋履歴版,4カラム受注キー＋履歴版,5カラム主キーをレコード識別に使用,方向性を整理済み
履歴設計,車両横断時のキー,TRIM(no_frame),TRIM(no_frame),TRIM(no_frame),車両接続用。元レコードの主キーとは分けて扱う
履歴設計,独自record_hash,候補,候補,必要に応じて候補,既存MD5が全件対応していないため、設計時に対象カラムを決定
履歴設計,履歴版キー・有効期間・現在行フラグ,未設計,未設計,未設計,具体設計は担当者からの連絡後に対応
履歴設計,変更判定対象カラム,未選定,未選定,未選定,具体設計は担当者からの連絡後に対応
履歴設計,日次フルスナップショットの評価,"約2,371万件のため第一候補にしない",継続的な保存量増加に注意,既存の最終断面活用を優先,暫定評価。要件・保持期間・コストを確認後に決定
成果物,TBAZ017M個別調査シート,Markdown作成済み,対象外,対象外,完了
成果物,TBBA001G個別調査シート,対象外,Markdown作成済み,対象外,完了
成果物,TBBA085G個別調査シート,対象外,対象外,Markdown作成済み,完了
成果物,3テーブル横断比較,比較済み,比較済み,比較済み,完了
成果物,担当者向け最終比較表・調査結果一覧,完成版,完成版,完成版,本CSVとして作成
成果物,未確認事項の整理,主キー業務意味・日時・MD5・保持期間など,業務日付・退避条件・MD5・保持期間など,dt_massyo・格納条件・MD5・保持期間など,個別調査シートおよび本表に整理済み
総合評価,調査フェーズの到達点,構造・件数・期間・更新傾向・no_frame・MD5を確認,左記に加え、主キー一意性・取消日・条件変更日・TBBA085G比較を確認,左記に加え、4カラム重複・売上日・dt_massyo・取消日・条件変更日を確認,パイロット3テーブルの実データ調査と比較整理は完了
総合評価,最も重要な結論,車両基本情報の現在値候補。no_frameは車両横断用だが一意ではない,現行受注の現在状態候補。受注キーはテーブル内識別用、no_frameは車両横断用,取消専用ではなく、売上済み受注の抹消・退避時最終断面候補,確認済み
総合評価,今後の対応,設計開始時に変更判定カラム・履歴管理項目を決定,設計開始時に状態遷移・変更判定カラムを決定,設計開始時にTBBA001Gとの役割分担と取込方式を決定,具体的な履歴テーブル設計は担当者からの連絡後に対応
